from_stop_id,to_stop_id,transfer_type,min_transfer_time
1752,3673612,2,195
1752,3673613,2,217
5770766,2393,2,273
2430,3688095,2,273
2430,3688096,2,269
5231600,2539,2,200
3687060,2539,2,235
2430,1753,2,139
1752,3813345,2,186
2430,3687459,2,217
2430,3687458,2,195
1659,4459271,2,200
1659,4459270,2,201
1752,4705559,2,273
5770763,2539,2,244
4036313,2430,2,233
1752,4705558,2,280
2430,4009041,2,247
3687567,1659,2,200
2430,3887742,2,200
5231624,1659,2,200
2205,2539,2,111
2430,3687461,2,257
2430,3687460,2,257
4036283,1752,2,194
5231598,1659,2,272
2539,3765283,2,216
1659,3765281,2,222
1659,6095573,2,201
2539,3765282,2,243
2539,3765281,2,222
5231599,2539,2,186
1659,3765283,2,216
1659,3765282,2,243
1659,3673606,2,228
4472859,2430,2,194
2539,4036627,2,272
2539,4036628,2,186
2539,4036629,2,200
1659,3673605,2,222
1659,3673604,2,200
5231598,2539,2,272
1752,4705667,2,273
4036313,1752,2,233
1752,1753,2,156
2539,3673606,2,228
2539,3673604,2,200
2539,3673605,2,222
1718,3673608,2,198
1752,5289084,2,194
1718,3673609,2,254
2393,4798887,2,251
5231600,1659,2,200
3687059,1659,2,217
2430,5289177,2,233
3687660,2430,2,279
3687061,1659,2,200
5770764,1659,2,244
2539,4459271,2,200
2539,4459270,2,201
1752,3687460,2,257
1752,3687461,2,257
2430,3560201,2,230
2539,3690080,2,272
2430,3560202,2,279
2393,3673633,2,212
2539,3690081,2,228
3687062,1659,2,201
3687062,2539,2,201
1950,2539,2,61
5770765,1659,2,222
1783,4798887,2,251
1752,3887742,2,200
1659,4036628,2,186
1659,4036629,2,200
5770767,1783,2,212
2430,5289084,2,194
1659,4036627,2,272
1659,3690051,2,219
5770766,1783,2,273
1659,3690050,2,219
1752,3687459,2,217
1752,3687458,2,195
5770767,2393,2,212
2430,4705558,2,280
2430,4705559,2,273
1752,3688096,2,269
4472860,1752,2,233
1752,3688095,2,273
1783,3673633,2,212
2539,3690051,2,219
5939872,1659,2,201
2539,3690050,2,219
3687633,2539,2,272
1752,4009099,2,273
1718,3687455,2,254
1718,3687454,2,244
5231624,2539,2,200
4472859,1752,2,194
2430,2431,2,140
3687568,2539,2,200
2539,6095573,2,201
5770763,1659,2,244
2463,3673608,2,198
2463,3673609,2,254
4472860,2430,2,233
1659,3690081,2,228
1659,3690080,2,272
5231599,1659,2,186
5770765,2539,2,222
1752,2431,2,131
2430,3813345,2,186
5939872,2539,2,201
5770764,2539,2,244
2463,3687454,2,244
2463,3687455,2,254
2205,1659,2,107
3687059,2539,2,217
3687633,1659,2,272
3687061,2539,2,200
4036283,2430,2,194
1752,4009041,2,247
1752,5289177,2,233
3687567,2539,2,200
1950,1659,2,61
3687660,1752,2,279
3687060,1659,2,235
2430,3673612,2,195
3687568,1659,2,200
2430,4705667,2,273
2430,3673613,2,217
2539,5657303,2,213
2539,5657302,2,216
1752,3560202,2,279
1752,3560201,2,230
1659,5657303,2,213
1659,5657302,2,216
2430,4009099,2,273
