from_stop_id,to_stop_id,transfer_type,min_transfer_time
3765239,2453,2,225
4024981,2343,2,224
4008235,1708,2,267
4037774,1946,2,234
3747982,2527,2,198
967988,1647,2,180
4016319,2447,2,199
4459280,1993,2,293
3765191,1890,2,198
3812998,2291,2,244
5018190,1890,2,270
3672110,1745,2,219
3893541,1747,2,187
5289129,1804,2,248
3764731,1946,2,234
4037209,1946,2,234
2469,1715,2,480
1723,1715,2,480
4199333,1993,2,271
5018188,1972,2,230
4008247,1814,2,231
3747930,2513,2,232
3893471,1946,2,234
5121020,2343,2,205
3926396,2527,2,225
4008297,2453,2,260
3765236,1637,2,225
4037173,2531,2,210
4036981,1678,2,246
3765236,2517,2,225
4354172,2531,2,199
4037174,1651,2,186
4009379,1804,2,416
3687684,2183,2,293
4354420,2278,2,203
4687322,2425,2,204
4008297,1708,2,260
3893541,2425,2,187
3740539,1917,2,189
4024982,2343,2,306
3749909,2201,2,200
5121562,1747,2,198
4036827,2286,2,270
4008429,2043,2,243
3893338,2286,2,186
4472691,2286,2,270
3749905,2043,2,216
3749914,1715,2,198
3926277,1745,2,207
5289127,1884,2,200
3764503,1702,2,199
4037285,1819,2,212
4016360,1890,2,198
2310,2311,2,110
4016276,2457,2,267
3748025,1844,2,232
3926396,1647,2,225
5289092,2527,2,269
4008919,1804,2,203
4036635,1633,2,211
3807571,2457,2,198
4036619,1993,2,268
4472537,2242,2,189
3688076,2269,2,134
3764611,1678,2,246
4473339,2343,2,205
4008202,1972,2,267
4037244,2531,2,199
1946,1945,2,205
4008855,1637,2,242
3813166,1747,2,189
4008836,2286,2,210
3740527,1895,2,233
2285,1890,2,77
3681810,2280,2,225
3343776,2488,2,180
4045021,1715,2,206
4146147,2531,2,217
3747991,2454,2,196
4024392,2088,2,319
3749776,2447,2,213
3740532,1637,2,222
3672262,2531,2,256
4037046,2488,2,270
3747988,2513,2,222
5289129,2343,2,248
3926288,2531,2,210
4015761,2280,2,302
3672169,1651,2,225
3749904,2043,2,276
4008236,1708,2,260
3343778,1647,2,180
2053,1890,2,250
4008944,2343,2,205
3690063,2423,2,236
3893338,1890,2,186
4036290,1647,2,225
5079461,2343,2,227
5121010,2343,2,225
1687,2517,2,96
4008855,2517,2,242
4199377,2269,2,156
3765277,2278,2,203
5121348,1747,2,187
3765235,2517,2,208
3688115,1873,2,134
3673595,2513,2,246
3764735,1819,2,244
4687323,1747,2,198
3764732,2201,2,209
1677,1678,2,105
2376,2527,2,118
5289128,2549,2,221
2201,1945,2,189
3716874,1890,2,254
4022892,2201,2,234
4024390,1804,2,224
3807568,2488,2,194
3442582,2280,2,216
5018458,1804,2,230
4016439,2457,2,253
3740521,1730,2,301
4022895,2201,2,267
3748020,2032,2,204
4997014,2527,2,221
3926256,2423,2,237
4009671,1715,2,192
3740323,2517,2,251
5231588,2269,2,156
1767,2527,2,105
3813154,2162,2,249
4473413,1804,2,205
3672110,2423,2,219
3343772,2457,2,180
4008992,1804,2,205
4036826,1702,2,282
4008214,1730,2,241
4146147,1651,2,217
4037284,2460,2,198
4022894,1946,2,274
4036655,2447,2,196
3811247,2043,2,276
3748085,1651,2,225
5121808,2343,2,204
4008834,1972,2,222
3893544,2261,2,235
4726959,2001,2,198
4472557,1715,2,206
4036750,2286,2,198
3687679,1873,2,134
4022953,1946,2,234
4036981,2488,2,246
4036655,1702,2,196
4022956,2358,2,212
3747990,2151,2,203
3926256,1745,2,237
3690063,1745,2,236
3811231,2227,2,216
5018188,2227,2,230
3740533,2517,2,188
3807572,1702,2,213
4354419,1882,2,207
3764735,2358,2,244
3672170,2531,2,256
1817,2355,2,51
4022894,2201,2,274
2339,2531,2,200
3765230,2291,2,203
5121668,1804,2,227
3343773,2001,2,180
4008992,2343,2,205
4996988,2527,2,225
4008235,2453,2,267
3748085,2531,2,225
4354462,1651,2,217
3740518,1715,2,198
4025419,1946,2,267
3672170,1651,2,256
3688076,1873,2,134
3926289,1651,2,186
3926282,2014,2,192
3764731,2201,2,234
4364001,1873,2,192
4008473,1747,2,211
4016439,1712,2,253
4008878,2425,2,218
4036865,2488,2,246
3685920,2183,2,213
2201,2200,2,170
4459241,1890,2,198
3740558,1819,2,244
3687262,2032,2,187
3813312,2423,2,208
4199339,2269,2,180
3672237,1651,2,256
3740538,1917,2,261
4354165,2278,2,203
1724,2460,2,480
3687261,2032,2,194
3764734,2358,2,227
4008885,2440,2,213
3747993,1651,2,188
4024983,1804,2,301
4687323,2425,2,198
3749776,1702,2,213
4199335,2183,2,293
4687322,1747,2,204
3687680,1873,2,156
3807568,1678,2,194
4015762,2280,2,240
3687678,1873,2,129
5121606,2343,2,227
4009671,2460,2,192
4472544,2517,2,242
3740533,1637,2,188
5121342,2280,2,200
4036659,2286,2,186
2531,2371,2,151
4009643,1715,2,192
5231635,1873,2,134
2468,1715,2,480
3740520,2358,2,225
2285,2286,2,86
3343769,1702,2,180
2354,1814,2,89
4199336,1993,2,268
4009672,2460,2,206
3749908,1946,2,189
4016360,2286,2,198
4459282,1873,2,134
4015762,1884,2,240
4015760,2280,2,297
3687442,1844,2,225
3748086,2531,2,190
5121380,1804,2,248
5121380,2343,2,248
3685919,2183,2,185
4473414,2343,2,230
5018395,2488,2,246
4037268,1647,2,225
3893543,1936,2,285
3740558,2358,2,244
3343771,1712,2,180
1820,1819,2,55
5018390,2488,2,270
3764737,1715,2,198
3765151,1890,2,270
3740322,2517,2,252
3687679,2269,2,134
4739209,1890,2,241
4008455,2425,2,187
1166841,1715,2,480
4015763,1884,2,216
967989,1647,2,180
4008878,1747,2,218
1833,1651,2,176
4009219,1804,2,207
4726751,2043,2,249
4008378,2242,2,192
3765234,1637,2,188
3343777,1647,2,180
3926395,2527,2,269
4472687,2460,2,206
2460,4473188,2,206
4834559,1804,2,227
5231591,1993,2,313
4008889,2286,2,198
4015757,1747,2,211
3765247,2043,2,249
4036932,1678,2,270
4037212,1946,2,267
4036824,2457,2,253
3343776,1678,2,180
3893474,2358,2,212
4726916,1890,2,198
3716944,2286,2,241
1166840,2460,2,480
3748022,2513,2,218
4354165,1882,2,203
3807630,2488,2,270
1767,1647,2,120
3343778,2527,2,180
1834,1651,2,200
4008457,1747,2,198
3764648,1678,2,270
3764740,1819,2,225
3893542,2425,2,233
4364002,1873,2,192
3764648,2488,2,270
3807571,1712,2,198
5018190,2286,2,270
4008240,1917,2,192
3442582,1884,2,216
4008889,1890,2,198
4023038,1946,2,234
3748025,2311,2,232
3765229,2291,2,250
5289091,2527,2,225
3765448,1715,2,249
4036619,2183,2,268
4036824,1712,2,253
5121341,2280,2,213
4997014,1647,2,221
4009220,2549,2,319
3813203,1747,2,207
4037173,1651,2,210
3813134,2043,2,263
1835,1651,2,178
1843,2311,2,103
4037172,2531,2,225
4146116,2531,2,217
4008308,1814,2,231
4472872,2527,2,212
3893405,1730,2,253
5018189,2286,2,210
3765149,1972,2,230
3748016,1651,2,217
4022892,1946,2,234
5121003,1804,2,225
3740518,2460,2,198
3893543,2261,2,285
4008884,2295,2,234
1817,1816,2,63
3343774,2190,2,180
3765229,1895,2,250
4037212,2201,2,267
3740519,2460,2,206
3343777,2527,2,180
3343773,2190,2,180
3813312,1745,2,208
3926283,2014,2,229
4037210,2201,2,240
3893540,2425,2,187
3672237,2531,2,256
3687588,1993,2,191
3926280,1882,2,213
4008839,2460,2,206
2449,3689155,2,255
4834508,1804,2,195
5289130,1804,2,222
4024983,2343,2,301
4037772,1946,2,274
3764552,1712,2,267
3748018,2531,2,267
3749911,1819,2,227
4015761,1884,2,302
4009219,2343,2,207
3748021,2151,2,275
1722,2460,2,480
3687071,1633,2,246
5121340,2088,2,243
5121669,1804,2,227
1704,3689033,2,261
4726916,2286,2,198
4024391,2343,2,224
3747991,1709,2,196
3685919,1993,2,185
3747989,2151,2,282
3764737,2460,2,198
3765448,2460,2,249
4008372,2353,2,231
4037210,1946,2,240
4354419,2278,2,207
4022956,1819,2,212
5289124,1747,2,211
3740521,2441,2,301
4364000,2269,2,178
4364001,2269,2,192
5121003,2343,2,225
3807570,2190,2,198
4009641,1890,2,241
4009672,1715,2,206
3748067,1651,2,199
1833,2531,2,149
1651,2371,2,166
5289131,2549,2,243
5121607,2343,2,227
4036291,1647,2,269
3747993,2531,2,188
3765287,1882,2,207
2376,1647,2,130
3764656,1678,2,246
3813313,2423,2,192
5121343,1884,2,302
3765228,2043,2,263
